Data e Hora de Execução: 19-06-2024-14:34:08
Tempos em segundos:
Tamanho/Tipo,Aleatorio,Aleatorio-RangeMenor,Aleatorio-RangeMaior,Aleatorio-CEP,Aleatorio-Iguais,Aleatorio-Extremo,Crescente,Crescente-RangeMenor,Crescente-RangeMaior,Crescente-CEP,Crescente-Iguais,Crescente-Extremo,Decrescente,Decrescente-RangeMenor,Decrescente-RangeMaior,Decrescente-CEP,Decrescente-Iguais,Decrescente-Extremo
10000,0.002439,0.001466,0.006508,0.003503,0.001132,0.010584,0.002488,0.001545,0.001178,0.003543,0.002468,0.010594,0.002489,0.001535,0.006571,0.003526,0.004569,0.010614,
100000,0.025164,0.014751,0.064740,0.034794,0.011318,0.104702,0.024727,0.014823,0.011352,0.034898,0.023832,0.104988,0.024387,0.015020,0.064363,0.035284,0.044772,0.105956,
500000,0.140654,0.074013,0.326964,0.176457,0.055535,0.527042,0.143476,0.075318,0.057008,0.176433,0.120471,0.528534,0.139242,0.074764,0.324033,0.174201,0.225249,0.521578,
1000000,0.251952,0.149734,0.661150,0.354836,0.113323,1.068749,0.259147,0.150148,0.117151,0.338474,0.245426,1.067343,0.250953,0.152971,0.657678,0.355391,0.455965,1.065237,
Tempo Total,124.132317
Tempo Medio Total,0.172406
