Data e Hora de Execução: 17-06-2024-15:09:28
Tempos em segundos:
Tamanho/Tipo,Aleatorio,Aleatorio-RangeMenor,Aleatorio-RangeMaior,Aleatorio-CEP,Aleatorio-Iguais,Aleatorio-Extremo,Crescente,Crescente-RangeMenor,Crescente-RangeMaior,Crescente-CEP,Crescente-Iguais,Crescente-Extremo,Decrescente,Decrescente-RangeMenor,Decrescente-RangeMaior,Decrescente-CEP,Decrescente-Iguais,Decrescente-Extremo
10000,0.003248,0.001930,0.008174,0.004655,0.001441,0.014706,0.003286,0.001979,0.001514,0.004689,0.003199,0.014748,0.003302,0.001959,0.008386,0.004798,0.005969,0.014680,
100000,0.033273,0.019873,0.086127,0.047191,0.014678,0.147504,0.033421,0.019865,0.015264,0.047608,0.029116,0.104581,0.022173,0.013296,0.057728,0.031518,0.040362,0.099059,
500000,0.126147,0.066527,0.309250,0.167223,0.049543,0.506842,0.143942,0.072330,0.056782,0.167116,0.110074,0.509354,0.128586,0.069420,0.298814,0.166486,0.206171,0.509484,
1000000,0.238063,0.139494,0.609194,0.322087,0.102157,1.014050,0.232469,0.143211,0.114834,0.326349,0.224165,1.007031,0.235496,0.141346,0.607229,0.317942,0.430837,1.013900,
Tempo Total,118.492485
Tempo Medio Total,0.164573
